Time,Capacity,Resistance
10.15097436424607,5.062437080184147,0.026770362921604843
1027.681112184817,5.03833863796089,0.027741636386372823
2045.139223236232,5.024781697857179,0.027997367503834417
3062.6353405433547,5.029401470883191,0.02825363047995993
4080.082377819224,5.0253853955114485,0.028587067601870485
5097.51569917587,5.01557238580092,0.06040513537807292
6114.9201205474255,5.012340433351942,0.06087773607133458
7132.330477827298,5.009427170821286,0.061065778682866174
8149.748146739018,5.009261002706629,0.06109970801028905
9167.12424298856,5.00681344785667,0.06132284879691559
10184.509333639267,5.002008681051112,0.061485057634513854
11201.886988534405,4.999770932237265,0.06183447172955756
12219.257338399248,4.997592178862828,0.06200997388331268
13236.637242467494,4.997969163716381,0.06207315072457361
14253.993567238069,4.99341995306903,0.06236503985253183
15271.334809922197,4.991425839343159,0.06257094347244482
16288.669575796725,4.989503128502564,0.06263293918295902
17306.006411345377,4.990145299538945,0.06276055136059312
18323.337076168355,4.985845750670455,0.06270534401536518
19340.67828695169,4.984079245089729,0.0627908446264708
