,Temperature,0.6,0.62,0.64,0.66,0.68,0.7000000000000001,0.7200000000000001,0.7400000000000001,0.7600000000000001,0.7800000000000001,0.8000000000000002
0,10,-390.6777901407331,-339.4537534043193,-290.12101243436337,-243.29003886133432,-199.5697512831539,-159.56406761333346,-123.8684494048357,-93.06645988300443,-67.72635739482939,-48.397746082395315,-35.60830505564809
1,11,-372.37828601524234,-336.63046300038695,-299.6214010603726,-262.1683972887695,-225.10221764817834,-189.26224991679192,-155.4915690086782,-124.63194606080651,-97.51883305609226,-74.97635524719954,-57.812343426048756
2,12,-354.1158123984933,-331.8954441398382,-305.7261110767722,-276.598064891994,-245.52780400589108,-213.5520522929728,-181.7215826101601,-151.09492455422878,-122.73199659585953,-97.68770382925868,-77.0055423527956
3,13,-335.98711274564266,-325.39916514605284,-308.6236269697547,-286.79102900624275,-261.06875859200954,-232.6540814936161,-202.76695253700018,-172.64266099780798,-143.52435779571533,-116.65551292151213,-93.27235163748264
4,14,-318.08676341176033,-317.3064090013504,-308.52932021021843,-292.99511773884296,-271.98881555348635,-246.83309349417686,-218.88031366467476,-189.50433170050383,-160.0921554416418,-132.03550499677658,-106.72232876718044
5,15,-300.5063414722681,-307.79426865279675,-305.68257408589125,-295.49053532630205,-278.58939926326275,-256.39410158246756,-230.35469520837069,-201.94754308462143,-172.66633155196905,-144.0129626095295,-117.48838391155005
6,16,-283.3336116075516,-297.049980007112,-300.34360787272453,-294.58599841594696,-281.2053679674864,-261.67799501121044,-237.51925341039896,-210.27438765019178,-181.50908915698528,-152.79993488639593,-125.72475002706051
7,17,-266.65174190700054,-285.268619351089,-292.7900399789214,-290.61452181637287,-280.2003499418497,-263.0567230954766,-240.7345688715577,-214.81708642095327,-186.91007731854916,-158.63212759047747,-131.60470411926508
8,18,-250.538557164371,-272.6506932899356,-283.3132325336337,-283.928906224668,-275.96173103898764,-260.9281056076288,-240.38756789267063,-215.93327292054892,-189.182251855731,-161.76551580429077,-135.31806821376085
9,19,-235.06583796441555,-259.399651132524,-272.214463673532,-274.89698504656553,-268.8953570276499,-255.71033550053835,-236.88613279163837,-214.0009791702032,-188.6574645191431,-162.47272270172834,-137.06852211803198
10,20,-220.29867393523455,-245.71935115754604,-259.8009765446186,-263.89669213443995,-259.42001976817846,-247.8362456932664,-230.65347143262625,-209.4133888334036,-185.68183827400208,-161.0392117202282,-137.07076235115528
11,21,-206.29487890005112,-231.81151378154755,-246.3819566220045,-251.31101446598768,-247.96179938316345,-237.7474148645997,-222.12231992930174,-202.573426887393,-180.6109896376729,-157.75934184342623,-135.54754512012005
12,22,-193.10447458177805,-217.87319389730692,-232.26448944956064,-237.52289604395628,-234.94833644479513,-225.88818991929293,-211.72905458509922,-193.88825660198927,-173.8051606118679,-152.9323382228613,-132.72665138542652
13,23,-180.7692494392395,-204.09430615603924,-217.7495526149869,-222.91016051918268,-220.80311052501202,-212.69970467686653,-199.90779208391905,-183.76375763863325,-165.6243256404996,-146.85823137313128,-128.83781454712152
14,24,-169.32239778339863,-190.6552351489663,-203.12809478491545,-207.8405201137066,-205.93980127573013,-198.6139743849635,-187.08455581963062,-172.599058508873,-156.42333809286356,-139.83381909132004,-124.10965094715357
15,25,-158.78824422508478,-177.72456324100494,-188.67725460231304,-192.66673777624965,-190.7568077556789,-184.0481455810368,-173.67158772051334,-160.78119733184576,-146.54718221724033,-132.14870539307594,-118.76663475483656
16,26,-149.1820567920804,-165.45694569125772,-174.65676994249225,-177.72200758755207,-175.6319995597005,-169.39897860586643,-160.06188118830323,-148.67998225614429,-136.32639373838902,-124.08146907389164,-113.02615653723478
17,27,-140.50995121523738,-153.99116193130612,-161.30562577024102,-163.31561512500048,-160.91777024045587,-155.03763654828072,-146.62400912865996,-136.6431207060814,-126.07271061092615,-115.89601327851415,-107.09570511430502
18,28,-132.7688884921372,-143.4483698606491,-148.83898635581136,-149.72893723472953,-146.9364603050053,-141.30485185980797,-133.69731699302793,-124.99168342724442,-116.07501293718815,-107.83814529329538,-101.170210134238
19,29,-125.94676554575562,-133.93058619648218,-137.4454526156187,-137.2118341885507,-133.97621070966125,-128.50653456524014,-121.58754487335682,-114.015963755548,-106.59560567140579,-100.13243159651756,-95.42958001792431
20,30,-120.02259880304337,-125.51941430196166,-127.28468225896358,-125.97948344796896,-122.287303134799,-116.9098819643259,-110.56293803080916,-103.97178786993027,-97.86689434200525,-92.97937043756247,-90.03646813333035
21,31,-114.96679903939366,-118.27503680810332,-118.48540467396379,-116.20969745144248,-112.07903596386313,-106.74004140868783,-100.85089743509889,-95.07732528448105,-90.08849782496691,-86.55291913822293,-85.13429617136717
22,32,-110.74153420329094,-112.23548669740558,-111.1438569650054,-108.04076083377004,-103.51717709004879,-98.17737030982971,-92.63521447777748,-87.51044107228518,-83.42483569681644,-80.99840804561973,-80.84555992856622
23,33,-107.30117708817124,-107.41620755009353,-105.32266257144511,-101.56981614232063,-96.72202754579484,-91.35532946512103,-86.05392626672983,-81.40662497654557,-78.00322191789746,-76.43086844682693,-77.27043941989541
24,34,-104.59283218346536,-103.80990844033659,-101.05016637220979,-96.85181818157434,-91.76712004840374,-86.35903613641858,-81.19781821407378,-76.85752279870212,-73.91248824447393,-72.93379468470812,-74.4857297372073
25,35,-102.55693670734763,-101.38671639189124,-98.32023544982076,-93.89907056838274,-88.67856899276376,-83.22449490241706,-78.10959256626666,-73.91008841060102,-71.20215437747538,-70.55835570208728,-72.54410596191883
26,36,-101.12792832031846,-100.09462372213602,-97.09252648800611,-92.68134830147028,-87.43507782369852,-81.93851361051202,-76.78371082246304,-72.56636454537511,-69.88215287029743,-69.32306372001767,-71.47372898831964
27,37,-100.23497278243303,-99.86022501811385,-97.29321591183543,-93.12660362198949,-87.96860187500715,-82.43930336833,-77.16690986603498,-72.78389295935631,-69.92311028391123,-69.21390246599913,-71.2781960144639
28,38,-99.80274270474911,-100.58973313495517,-98.81618092954159,-95.12224267050624,-90.1656542122364,-84.6177505068481,-79.15938064455986,-74.47674437612295,-71.25717693939805,-70.18490955233574,-71.93683305382729
29,39,-99.75223907455802,-102.17026098445058,-101.52461470291018,-98.51695375144482,-93.86923421174288,-88.3193403556943,-82.61659035459161,-77.51715097948909,-73.77939087152481,-72.15920250490308,-73.40532318875194
30,40,-100.00164597481489,-104.4713514149189,-105.25305184721947,-103.12305963411927,-98.88134899735451,-93.3467024974525,-87.35171898081899,-81.73771516233683,-77.34955360740423,-75.03043075278401,-75.61665882915258
31,41,-100.46720900014043,-107.34673454239964,-109.80977552384138,-108.71935937926173,-104.9660903736949,-99.46273933723569,-93.1386732570827,-86.93416050076485,-81.79458836093545,-78.66463052481413,-78.48240220546722
32,42,-101.06412744894624,-110.63628881424665,-114.97957193478942,-115.05441853404045,-111.85322192311287,-106.39429149404168,-99.71563285216689,-92.86858347803354,-86.91134497895837,-82.90245396643877,-81.89423393085599
33,43,-101.707450222224,-114.16817922517657,-120.52679340168834,-121.8502603918314,-119.24222417920828,-113.83628632873297,-106.78907664865255,-99.27315776795149,-92.46980933099985,-87.5617386996746,-85.72576560080051
34,44,-102.31296554207802,-117.76114404946566,-126.19868721812963,-128.8064058944583,-126.80673982203007,-121.45630954951048,-114.038230240345,-105.8542366400361,-98.21667006611824,-92.44037944078445,-89.83458898961544
35,45,-102.7980745434761,-121.22689931839705,-131.72894401103258,-135.60420505702496,-134.19935548305511,-128.8995345160365,-121.11987090855837,-112.29679429531097,-103.87919069081545,-97.31945968419313,-94.06453125923872
36,46,-103.082639336586,-124.37262920290232,-136.84141685813665,-141.91139958053827,-141.0566529110074,-135.79393914341927,-127.67342130094767,-118.26914236694574,-109.16933117061853,-101.9665979668498,-98.24808320403099
37,47,-103.08979592472315,-127.00352892279625,-141.25395984947681,-147.38685282319784,-147.0044584274292,-141.75573689490557,-133.32625972479582,-123.42785457521677,-113.78806026279926,-106.13946040719748,-102.20896498858929
38,48,-102.74672394990921,-128.92536732554436,-144.6823345273733,-151.68538282066584,-151.66321855783463,-146.3949467688799,-137.69917339086533,-127.42283076047897,-117.42979797720909,-109.58939050137997,-105.76479335129261
39,49,-101.98536438494921,-129.9470349624753,-146.84413124620914,-154.4626317769289,-154.65342747420073,-149.32102469354868,-140.41187822073698,-129.90242933481932,-119.78692593425512,-112.06510428339243,-108.72981189191341
40,50,-100.74307864904404,-129.88304525613785,-147.4626532793045,-155.37990695983171,-155.60103295743465,-150.1484802737832,-141.08853051811457,-130.5185982659459,-120.55430361628532,-113.31640067696571,-110.91764702647924
41,51,-98.96324156969786,-128.55595661699772,-146.27071275562048,-154.10892805457115,-154.1427482366562,-148.50240264832973,-139.3631552606821,-128.93193462491035,-119.43372905999422,-113.0978355333209,-112.14405138790607
42,52,-96.59576344490051,-125.79868467152119,-143.01428873091936,-150.33641888946295,-149.931199349463,-144.02382218837738,-134.88491901755333,-124.81660475581884,-116.13828372955322,-111.17231041193008,-112.22959765791893
43,53,-93.5975356400013,-121.45667608082294,-137.456000700593,-143.76848363876343,-142.6398407369852,-136.37483766674995,-127.32317772507668,-117.865060582757,-110.39650450646877,-107.31452806293964,-111.00228698551655
44,54,-89.93279644846916,-115.38991756737232,-129.3783539235592,-134.13471211493015,-131.96757651865482,-125.24344301223755,-116.37223446369171,-107.79249060153961,-101.95632828772068,-101.31426987051964,-108.30003786087036
