Time,Capacity,Resistance
10.15097436424607,5.062437080184147,0.026770362921604843
1027.6424772059042,5.022497174600979,0.027801206578268813
2045.0255418425584,5.010277643944444,0.02846597414608923
3062.406029442303,4.997816745620867,0.029067675744847213
4079.770203564841,4.990302188315127,0.029393023596733823
5097.093727975951,4.992739572026067,0.06115045456418727
6114.394321340187,4.980003086209675,0.061579616447223776
7131.659032874983,4.9742941100128615,0.06175639662738338
8148.921758996789,4.971378080679832,0.06177517709376232
9166.182701241452,4.966291269146283,0.06219078162074964
10183.412570395025,4.961788671703346,0.062436490165052524
11200.62560855034,4.957209415076477,0.06265403475891848
12217.812574003894,4.950090930924414,0.06311693836991754
13234.986225963889,4.946521259553002,0.06334843269018856
14252.163448281322,4.942941875198711,0.06342510680327823
15269.31780897512,4.935761301626371,0.0637380373336806
16286.466524055137,4.932068039786828,0.06415818913446428
17303.61091086877,4.931350751810104,0.06426904636263422
18320.717062513417,4.924267044440057,0.06466336002268722
19337.862023419057,4.9305663469083045,0.06488223993596999
