Time,Current,Terminal Voltage,Ambient Temperature
5097.357339908169,0.1704877086483082,2.499999999999919,298.15
5097.358393063376,0.1667166666685301,2.499999999999999,298.15
5097.366726396709,-2.5,2.905979319072703,298.15
5097.375059730042,-2.5,3.0187455560453014,298.15
5097.383393063376,-2.5,3.0989706560857697,298.15
5097.391726396709,-2.5,3.132258790760491,298.15
5097.400059730042,-2.5,3.176922122790728,298.15
5097.408393063375,-2.5,3.2090991584293667,298.15
5097.416726396709,-2.5,3.230235644647598,298.15
5097.425059730042,-2.5,3.248659405165439,298.15
5097.433393063376,-2.5,3.267729004432589,298.15
5097.441726396709,-2.5,3.2869197503191483,298.15
5097.450059730042,-2.5,3.3046465271382424,298.15
5097.458393063375,-2.5,3.319740883362578,298.15
5097.4667263967085,-2.5,3.332186431611795,298.15
5097.475059730043,-2.5,3.345073977287108,298.15
5097.483393063376,-2.5,3.363577638451232,298.15
5097.491726396709,-2.5,3.376942290983312,298.15
5097.500059730042,-2.5,3.389979657259925,298.15
5097.508393063376,-2.5,3.4023518480495127,298.15
5097.516726396709,-2.5,3.4154178248373106,298.15
5097.525059730042,-2.5,3.430782974182405,298.15
5097.533393063375,-2.5,3.446056774446832,298.15
5097.541726396709,-2.5,3.461027987177868,298.15
5097.550059730042,-2.5,3.4714422517352017,298.15
5097.558393063376,-2.5,3.484324891748797,298.15
5097.566726396709,-2.5,3.496388947408393,298.15
5097.575059730042,-2.5,3.5057842794008183,298.15
5097.583393063375,-2.5,3.518323097034669,298.15
5097.5917263967085,-2.5,3.5289847748136385,298.15
5097.600059730043,-2.5,3.53889307852872,298.15
5097.608393063376,-2.5,3.548947710790556,298.15
5097.616726396709,-2.5,3.556740818543997,298.15
5097.625059730042,-2.5,3.564944106029153,298.15
5097.633393063376,-2.5,3.5722564555543244,298.15
5097.641726396709,-2.5,3.5792870828811068,298.15
5097.650059730042,-2.5,3.5866348214083037,298.15
5097.658393063375,-2.5,3.5931395045019583,298.15
5097.666726396709,-2.5,3.5980614080319064,298.15
5097.675059730042,-2.5,3.602240364730251,298.15
5097.683393063376,-2.5,3.605804240690702,298.15
5097.691726396709,-2.5,3.60838202906713,298.15
5097.700059730042,-2.5,3.610702273404725,298.15
5097.708393063375,-2.5,3.6130308425928734,298.15
5097.7167263967085,-2.5,3.615354910008697,298.15
5097.725059730043,-2.5,3.617524394062973,298.15
5097.733393063376,-2.5,3.619566867930576,298.15
5097.741726396709,-2.5,3.6219103310041136,298.15
5097.750059730042,-2.5,3.6243751624204856,298.15
5097.758393063376,-2.5,3.627062073789997,298.15
5097.766726396709,-2.5,3.629912623864339,298.15
5097.775059730042,-2.5,3.632866863327343,298.15
5097.783393063375,-2.5,3.63599512278359,298.15
5097.791726396709,-2.5,3.639680861415135,298.15
5097.800059730042,-2.5,3.64322551814582,298.15
5097.808393063376,-2.5,3.646777275065704,298.15
5097.816726396709,-2.5,3.650764015604134,298.15
5097.825059730042,-2.5,3.654668258330907,298.15
5097.833393063375,-2.5,3.658996268338468,298.15
5097.8417263967085,-2.5,3.663703904904192,298.15
5097.850059730043,-2.5,3.668468599261251,298.15
5097.858393063376,-2.5,3.6733290335349937,298.15
5097.866726396709,-2.5,3.678064258358815,298.15
5097.875059730042,-2.5,3.68281638002421,298.15
5097.883393063376,-2.5,3.687237901411524,298.15
5097.891726396709,-2.5,3.691607971702161,298.15
5097.900059730042,-2.5,3.695902999138447,298.15
5097.908393063375,-2.5,3.7000590632984647,298.15
5097.916726396709,-2.5,3.7041378934131863,298.15
5097.925059730042,-2.5,3.708045800235718,298.15
5097.933393063376,-2.5,3.712190652385146,298.15
5097.941726396709,-2.5,3.716237173392048,298.15
5097.950059730042,-2.5,3.7202201266514505,298.15
5097.958393063375,-2.5,3.724082762879825,298.15
5097.9667263967085,-2.5,3.727740211640594,298.15
5097.975059730043,-2.5,3.7313677323134353,298.15
5097.983393063376,-2.5,3.734941941819999,298.15
5097.991726396709,-2.5,3.738561868666431,298.15
5098.000059730042,-2.5,3.742129644189149,298.15
5098.008393063376,-2.5,3.7455761291374152,298.15
5098.016726396709,-2.5,3.749268783752351,298.15
5098.025059730042,-2.5,3.753093602789399,298.15
5098.033393063375,-2.5,3.7565565387688458,298.15
5098.041726396709,-2.5,3.76018836227096,298.15
5098.050059730042,-2.5,3.764052573342211,298.15
5098.058393063376,-2.5,3.767550254487006,298.15
5098.066726396709,-2.5,3.771591802243213,298.15
5098.075059730042,-2.5,3.775406284942303,298.15
5098.083393063375,-2.5,3.778912979351934,298.15
5098.0917263967085,-2.5,3.782727624342213,298.15
5098.100059730043,-2.5,3.786309055381896,298.15
5098.108393063376,-2.5,3.790129920026172,298.15
5098.116726396709,-2.5,3.79380599981924,298.15
5098.125059730042,-2.5,3.797475236758765,298.15
5098.133393063376,-2.5,3.801473765867872,298.15
5098.141726396709,-2.5,3.805200095063115,298.15
5098.150059730042,-2.5,3.80902277089052,298.15
5098.158393063375,-2.5,3.812936024238269,298.15
5098.166726396709,-2.5,3.816875241926522,298.15
5098.175059730042,-2.5,3.820822567603723,298.15
5098.183393063376,-2.5,3.824576462915333,298.15
5098.191726396709,-2.5,3.828349480723818,298.15
5098.200059730042,-2.5,3.832412942224487,298.15
5098.208393063375,-2.5,3.836389250856165,298.15
5098.2167263967085,-2.5,3.840224332212869,298.15
5098.225059730043,-2.5,3.844567569040307,298.15
5098.233393063376,-2.5,3.848616419841792,298.15
5098.241726396709,-2.5,3.852832258798735,298.15
5098.250059730042,-2.5,3.8566345560091326,298.15
