,SOC,Anode Half-Cell Discharge Voltage
0,0.0,0.1
1,4.5657838767089096e-05,0.10031714288851475
2,9.131567753419791e-05,0.10055260307893116
3,0.00013697351630130675,0.10074240605739763
4,0.00018263135506841558,0.1009048687329725
5,0.00022828919383552438,0.10104898280903864
6,0.0002739470326026135,0.10117973495109851
7,0.00031960487136972233,0.1013004224594121
8,0.00036526271013683116,0.10141321430256992
9,0.00041092054890393994,0.10151984987998841
10,0.00045657838767104876,0.10162138314641887
11,0.0005022362264381379,0.10171867190131874
12,0.0005478940652052466,0.10181240985873748
13,0.0005935519039723555,0.10190306670856468
14,0.0006392097427394643,0.10199098709123158
15,0.0006848675815065732,0.1020765155126473
16,0.000730525420273682,0.10215990767879742
17,0.000776183259040771,0.10224137997411906
18,0.0008218410978078799,0.10232110619265679
19,0.0008674989365749886,0.10239922281292964
20,0.0009131567753420975,0.10247586327499111
21,0.0009588146141092063,0.1025511502830804
22,0.0010044724528762955,0.10262519088569694
23,0.0010501302916434043,0.1026980834766623
24,0.0010957881304105132,0.10276991494927099
25,0.0011414459691776219,0.10284075767146952
26,0.0011871038079447308,0.10291067463060792
27,0.0012327616467118396,0.10297972069733623
28,0.0012784194854789286,0.1030479578633895
29,0.0013240773242460375,0.10311542095991826
30,0.0013697351630131463,0.10318215256301926
31,0.001415393001780255,0.1032481975553865
32,0.001461050840547364,0.10331357939982615
33,0.001506708679314453,0.10337833583419188
34,0.001552366518081562,0.10344249685213718
35,0.0015980243568486706,0.10350608341203409
36,0.0016436821956157795,0.10356912588870984
37,0.0016893400343828881,0.10363164355606237
38,0.0017349978731499972,0.10369365568940195
39,0.0017806557119170864,0.10375518241360565
40,0.001826313550684195,0.10381623961007831
41,0.001871971389451304,0.10387684252483943
42,0.0019176292282184126,0.103937005251325
43,0.0019632870669855215,0.103996740598947
44,0.0020089449057526104,0.10405605986317036
45,0.0020546027445197193,0.10411497325762624
46,0.002100260583286828,0.10417349046254995
47,0.002145918422053937,0.10423162022925672
48,0.002191576260821046,0.10428937065387323
49,0.002237234099588155,0.10434674980922974
50,0.0022828919383552438,0.1044037684829429
51,0.0023285497771223527,0.10446043057259165
52,0.0023742076158894615,0.10451674167217989
53,0.0024198654546565704,0.10457270662068394
54,0.0024655232934236793,0.10462832950310139
55,0.0025111811321907682,0.10468361467288417
56,0.002556838970957877,0.10473856531565395
57,0.0026024968097249856,0.10479318312124485
58,0.002648154648492095,0.10484746955451016
59,0.0026938124872592033,0.1049014253758237
60,0.002739470326026312,0.10495505137212008
61,0.0027851281647934016,0.10500836059401235
62,0.00283078600356051,0.10506134671995285
63,0.0028764438423276193,0.1051140101687945
64,0.002922101681094728,0.10516635090962534
65,0.0029677595198618367,0.10521836846424773
66,0.0030134173586289256,0.10527006692274489
67,0.0030590751973960345,0.10532144918837068
68,0.003104733036163144,0.10537251198942162
69,0.0031503908749302523,0.1054232549706397
70,0.003196048713697361,0.1054736776002268
71,0.0032417065524644696,0.10552377945149534
72,0.003287364391231559,0.1055735640646559
73,0.003333022229998668,0.1056230298486533
74,0.0033786800687657763,0.1056721773485111
75,0.0034243379075328856,0.10572100729722518
76,0.0034699957462999945,0.10576952060782616
77,0.003515653585067083,0.10581771888827411
78,0.003561311423834192,0.10586560406256383
79,0.003606969262601301,0.10591317739534636
80,0.0036526271013684096,0.10596044081478088
81,0.0036982849401355185,0.10600739650616352
82,0.003743942778902627,0.10605404694578625
83,0.0037896006176697168,0.1061003962663804
84,0.003835258456436825,0.10614644756732607
85,0.003880916295203934,0.10619220520812836
86,0.003926574133971043,0.10623767422819605
87,0.003972231972738152,0.10628285963750705
88,0.004017889811505241,0.10632776650673999
89,0.00406354765027235,0.10637239997024119
90,0.0041092054890394586,0.10641676476616736
91,0.0041548633278065674,0.10646086573886929
92,0.004200521166573676,0.10650470769553323
93,0.004246179005340784,0.10654829541319688
94,0.004291836844107874,0.1065916335868201
95,0.004337494682874983,0.10663472677172268
96,0.004383152521642092,0.10667757950865343
97,0.004428810360409201,0.1067201962786032
98,0.00447446819917631,0.10676258150210263
99,0.004520126037943399,0.10680473953944292
100,0.004565783876710507,0.10684667469087014
101,0.004611441715477616,0.10688839119680599
102,0.004657099554244725,0.10692989036952641
103,0.004702757393011833,0.10697117768293006
104,0.004748415231778942,0.10701225818731533
105,0.004794073070546032,0.1070531361344955
106,0.004839730909313141,0.10709381577325042
107,0.004885388748080249,0.1071343013493149
108,0.004931046586847359,0.10717459710537997
109,0.0049767044256144675,0.10721470728110465
110,0.0050223622643815555,0.1072546328844705
111,0.005068020103148665,0.10729437832922806
112,0.005113677941915774,0.10733394898707667
113,0.005159335780682882,0.1073733488923437
114,0.005204993619449991,0.10741258207668619
115,0.0052506514582171,0.10745165256907228
116,0.00529630929698419,0.10749056439577416
117,0.005341967135751298,0.10752932158038067
118,0.005387624974518407,0.10756792742464105
119,0.005433282813285516,0.10760638577500657
120,0.005478940652052624,0.10764468894934105
121,0.005524598490819713,0.10768283119786011
122,0.005570256329586823,0.10772078359243882
123,0.005615914168353931,0.10775865227515799
124,0.00566157200712104,0.10779634655638179
125,0.005707229845888149,0.10783395713735895
126,0.005752887684655258,0.10787140684162892
127,0.005798545523422347,0.10790877320801341
128,0.005844203362189456,0.10794602955342826
129,0.0058898612009565645,0.10798317748289143
130,0.005935519039723673,0.10802022637735705
131,0.005981176878490782,0.10805717876904629
132,0.006026834717257871,0.10809402808243906
133,0.00607249255602498,0.10813077772963597
134,0.006118150394792089,0.10816743316863733
135,0.006163808233559198,0.10820399693850202
