Time,Capacity,Resistance
10.15097436424607,5.062437080184147,0.026770362921604843
1027.6537024224317,5.016587427088951,0.02936094923335215
2045.025795129212,4.994792790034884,0.03035715102335198
3062.365769737174,4.979260930831288,0.030902651908718593
4079.6558427813575,4.971521522839722,0.031543847330283224
5096.908057520241,4.95874455524654,0.06478939194735515
6114.1693492532095,4.953488926040167,0.06574510253370335
7131.371585617114,4.952288585715515,0.06663985118891252
8148.5426675074195,4.943613202146235,0.06723073648483593
9165.671862785945,4.928837255170038,0.06795769117129047
10182.807613580537,4.924890886438436,0.06855613616279026
11199.927840681825,4.923167831523505,0.06938489314143101
12217.01053817083,4.91755201144937,0.06980472878176791
13234.059810443016,4.907622303606742,0.07046807463223474
14251.098894704402,4.899009755100451,0.0707836354227511
15268.125589816316,4.893483320689484,0.07113757288726091
16285.141852932597,4.891390889602424,0.0716636969421296
17302.132854151663,4.886440330605334,0.07213631321902036
18319.099154999047,4.878576555580366,0.07286350078568798
19336.08424066305,4.881924853783358,0.0735692002498029
