Time,Current,Terminal Voltage,Measured OCV,Measured Discharge Capacity,Estimate Discharge Capacity,Estimate SOC,Estimate OCV
49.5481064435888,0.0,3.950030853550745,3.950033471529897,3.939950798080503,3.9343118315984853,0.781,3.9495544739993647
49.54949533247769,0.0,3.9500308536944746,3.950033470927441,3.939950798080503,3.9343118315984853,0.781,3.9495544739993647
49.55088422136658,0.0,3.950030853838204,3.950033470324967,3.939950798080503,3.9343118315984853,0.781,3.9495544739993647
49.55227311025547,2.0,3.937279735329039,3.947393343813943,3.938561909191613,3.9343118315984853,0.781,3.9495544739993647
49.55366199914436,2.0,3.93572294973667,3.945981261609356,3.9357841314138327,3.9315340538207075,0.78,3.948579093652187
49.55505088803324,2.0,3.9345550553048447,3.944855824327699,3.933006353636068,3.9287562760429298,0.78,3.948579093652187
49.55643977692213,2.0,3.933557854078699,3.943874408396781,3.930228575858288,3.925978498265152,0.779,3.9476052742450176
49.55782866581102,2.0,3.9326599704663607,3.942983894491481,3.9274507980805073,3.9232007204873742,0.779,3.9476052742450176
49.55921755469991,2.0,3.931828353313303,3.942156507823686,3.924673020302727,3.9204229427095965,0.778,3.9466494902849947
49.5606064435888,2.0,3.931046139630691,3.9413767207842287,3.9218952425249465,3.9176451649318187,0.777,3.9466494902849947
49.56199533247769,2.0,3.930302656373029,3.940634388737376,3.919117464747166,3.914867387154041,0.777,3.9456952232809557
49.563384221366576,2.0,3.929589375740538,3.9399214954100086,3.9163396869694016,3.912089609376263,0.776,3.9456952232809557
49.564773110255466,2.0,3.9289008430115815,3.9392328105010392,3.913561909191621,3.9093118315984854,0.776,3.9447424735750967
49.56616199914436,2.0,3.928233088863071,3.938564492828738,3.9107841314138407,3.9065340538207076,0.775,3.9447424735750967
49.567550888033246,2.0,3.927582993813306,3.937913505578784,3.90800635363606,3.90375627604293,0.775,3.943791241027358
49.568939776922136,2.0,3.9269481663543946,3.937277512462885,3.90522857585828,3.900978498265152,0.774,3.9428415252292077
49.57032866581102,2.0,3.926326661427369,3.9366546221222567,3.902450798080515,3.8982007204873743,0.774,3.9428415252292077
49.57171755469991,2.0,3.92571685450709,3.9360432519693846,3.899673020302735,3.8954229427095965,0.773,3.941893321591155
49.5731064435888,2.0,3.925117353394307,3.935442035095444,3.8968952425249546,3.892645164931819,0.773,3.941893321591155
49.57449533247769,0.0,3.937133870521169,3.9374283119878193,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.57588422136658,0.0,3.938092270772259,3.938232405064788,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.57727311025547,0.0,3.938671733655403,3.938763507253664,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.57866199914435,0.0,3.9390888205564223,3.939160119071206,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.58005088803324,0.0,3.9394139378909023,3.9394736665741457,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.58143977692213,0.0,3.939679148369666,3.939730699997577,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.58282866581102,0.0,3.939900262793354,3.939945784508349,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.58421755469991,0.0,3.940088028139989,3.9401288771128393,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.5856064435888,0.0,3.940249836278917,3.940286903682383,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.58699533247768,0.0,3.9403907903539386,3.940424638236844,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.588384221366574,0.0,3.940514316422063,3.940545458206401,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.58977311025546,0.0,3.940623202105669,3.940652063676924,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.591161999144354,0.0,3.94071969636832,3.940746614789008,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.59255088803325,0.0,3.9408056883771647,3.940830903727499,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.59393977692213,0.0,3.9408826172464138,3.940906320488468,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.59532866581102,0.0,3.940951611373877,3.940973971038333,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.59671755469991,0.0,3.941013622719745,3.941034786154989,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.5981064435888,0.0,3.9410694772909474,3.941089568529933,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.59949533247769,0.0,3.941119848284037,3.941138976341304,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.60088422136658,0.0,3.941165305727115,3.941183566815617,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.60227311025547,0.0,3.941206487265864,3.9412239510014966,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.60366199914435,0.0,3.94124388547751,3.941260601704295,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.60505088803324,0.0,3.94127785839813,3.9412938767787695,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.60643977692213,0.0,3.9413086681152274,3.941324046010872,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.60782866581102,0.0,3.941336601623677,3.941351390947079,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.60921755469991,0.0,3.941361979125417,3.941376220173205,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.6106064435888,0.0,3.9413849677377,3.94139870344554,3.895506353636065,3.889867387154041,0.772,3.940946633096022
49.61199533247768,0.0,3.941405864255307,3.941419127591832,3.895506353636065,3.889867387154041,0.772,3.940946633096022
