SOC,Discharge Capacity,OCV
1.0,4.904565445264117,4.1883802768386955
0.999,4.901324438172663,4.187641696807241
0.998,4.89642871458581,4.185614089533509
0.997,4.891509809569525,4.18504798762005
0.996,4.886578034448871,4.183555510571128
0.995,4.881656567325549,4.181864185425025
0.994,4.876745335561874,4.18086315483589
0.993,4.871857453329259,4.1797883974324375
0.992,4.866999827648389,4.178050156532679
0.991,4.862098642141046,4.176825599697162
0.99,4.857168101055902,4.175802531643981
0.989,4.852277631607956,4.1747009420035575
0.988,4.847350709237594,4.173600997213454
0.987,4.842408604416443,4.1715003629711465
0.986,4.837507543272342,4.170443262707095
0.985,4.832667009411612,4.169312984135598
0.984,4.827806981114686,4.168184385819391
0.983,4.822847011915869,4.1669270024676734
0.982,4.817867769102147,4.165892080126787
0.981,4.813024995459691,4.163594197745849
0.98,4.808183663756546,4.163646742883979
0.979,4.803224106757793,4.161167546986053
0.978,4.798274597873388,4.161368166411906
0.977,4.793376121999814,4.15892644099394
0.976,4.788546781712745,4.157774150746242
0.975,4.783625869482831,4.156503050213281
0.974,4.778698926374662,4.155433693412565
0.973,4.773841700149077,4.1542865785198675
0.972,4.7689743792188155,4.153141157568018
0.971,4.764013662696468,4.1518663743005435
0.97,4.7590455302845305,4.1508146369828065
0.969,4.754144969390059,4.1496743521191615
0.968,4.7491527752474925,4.148396810222955
0.967,4.744248470071178,4.145543015752995
0.966,4.739407769825652,4.1462230572667895
0.965,4.734549123944588,4.143196071644535
0.964,4.7296305748903595,4.143808312934653
0.963,4.724636070471191,4.1387005209315655
0.962,4.71977495936008,4.137491439898369
0.961,4.714913848248969,4.1362841386085325
0.96,4.709965931582302,4.135057105939311
0.959,4.705018014915636,4.133831889957961
0.958,4.700156903804524,4.132629950711079
0.957,4.695295792693414,4.131429772196042
0.956,4.690347876026747,4.130209967550097
0.955,4.685399959360081,4.128991966756539
0.954,4.68053884824897,4.127797097270639
0.953,4.675677737137859,4.126603975970596
0.952,4.670729820471192,4.125391346308013
0.951,4.6657819038045245,4.124180505653725
0.95,4.660920792693413,4.122992656337403
0.949,4.656059681582302,4.1218065382161395
0.948,4.651111764915637,4.120601014455298
0.947,4.646163848248968,4.119397265557605
0.946,4.641302737137858,4.118216367636754
0.945,4.636354820471191,4.117016150647833
0.944,4.631406903804525,4.115817696954468
0.943,4.626545792693413,4.1146420025479005
0.942,4.621684681582302,4.1134680101531425
0.941,4.616736764915636,4.112274801508601
0.94,4.6117888482489695,4.111083343857256
0.939,4.606927737137858,4.109914501144689
0.938,4.602066626026747,4.108747346988663
0.937,4.59711870936008,4.107561085332491
0.936,4.592170792693413,4.106376559196331
0.935,4.587309681582302,4.105214519694156
0.934,4.582448570471191,4.104054160586996
0.933,4.577500653804524,4.102874798352085
0.932,4.5725527371378565,4.101697159271709
0.931,4.567691626026746,4.100541867288795
0.93,4.562830514915635,4.099388239197328
0.929,4.557882598248968,4.098215717342688
0.928,4.552934681582302,4.097044902879602
0.927,4.548073570471191,4.09589630766295
0.926,4.543212459360079,4.094749369236629
0.925,4.538264542693413,4.093583645877006
0.924,4.533316626026747,4.092419615374369
0.923,4.528455514915636,4.091277671008542
0.922,4.523594403804524,4.090137365448156
0.921,4.5186464871378575,4.088978381920317
0.92,4.513698570471191,4.087821078396393
0.919,4.50883745936008,4.086685731197107
0.918,4.503889542693413,4.085531792727021
0.917,4.498941626026746,4.0843795300774834
0.916,4.494080514915635,4.08324912176138
0.915,4.489219403804524,4.0821203341846415
0.914,4.484271487137858,4.080973054871715
0.913,4.479323570471191,4.079827440284346
0.912,4.474462459360081,4.078703551549858
0.911,4.469601348248969,4.077581270352396
0.91,4.4646534315823025,4.076440609576976
0.909,4.459705514915635,4.0753016023189295
0.908,4.4548444038045245,4.0741842011613
0.907,4.449983292693413,4.073068394373834
0.906,4.4450353760267465,4.071934309022003
0.905,4.44008745936008,4.070801865999552
0.904,4.435226348248968,4.069690900200256
0.903,4.430365237137858,4.068581518813952
0.902,4.425417320471191,4.067453966103704
0.901,4.420469403804524,4.066328046554254
0.9,4.415608292693412,4.06522348675725
0.899,4.410747181582302,4.064120502541084
0.898,4.405799264915636,4.062999446848915
0.897,4.400851348248969,4.061880015631281
0.896,4.395990237137857,4.060781814458955
0.895,4.391129126026747,4.059685181291792
0.894,4.38618120936008,4.058570580766438
0.893,4.381233292693413,4.057457595361652
0.892,4.376372181582302,4.056365724468428
0.891,4.3714242649156345,4.055255965853187
0.89,4.366476348248969,4.0541478101830695
0.889,4.361615237137857,4.053060674760744
0.888,4.356754126026746,4.051975094663946
0.887,4.35180620936008,4.0508717290788745
0.886,4.346858292693413,4.049769959401482
0.885,4.341997181582302,4.048689087616031
0.884,4.337136070471191,4.047609768753341
0.883,4.332188153804524,4.046512772610864
0.882,4.327240237137858,4.045417364778672
0.881,4.322379126026747,4.0443427338744655
0.88,4.317518014915636,4.043269645382697
0.879,4.312570098248968,4.042178977888947
0.878,4.307622181582302,4.041089893742995
0.877,4.302761070471191,4.040021465268787
0.876,4.29789995936008,4.038954574383749
0.875,4.292952042693413,4.037870214319823
0.874,4.288004126026746,4.036787430971752
0.873,4.283143014915635,4.0357251863646875
0.872,4.278281903804524,4.034664470726498
0.871,4.273333987137858,4.033586382868939
0.87,4.268386070471191,4.032509865787865
0.869,4.263524959360081,4.031453769793791
0.868,4.258577042693414,4.030380383111917
0.867,4.2536291260267465,4.029308561809605
0.866,4.248768014915635,4.0282570851661
0.865,4.2439069038045245,4.027207122591006
0.864,4.238958987137857,4.0261399672703115
0.863,4.234011070471191,4.0250743728621385
0.862,4.22914995936008,4.024029001032924
0.861,4.224288848248968,4.022985137680813
0.86,4.219340931582302,4.021924185027706
0.859,4.214393014915635,4.0208647860351645
0.858,4.209531903804524,4.019825501380929
0.857,4.204670792693412,4.018787724220647
0.856,4.199722876026747,4.017732957803987
0.855,4.19477495936008,4.016679740527959
0.854,4.189913848248969,4.015646518706052
0.853,4.185052737137857,4.014614795847597
0.852,4.1801048204711915,4.013566188639078
0.851,4.175156903804524,4.012519122797802
0.85,4.170295792693413,4.011491943562624
0.849,4.165434681582302,4.0104662632551955
0.848,4.1604867649156345,4.009423803259181
0.847,4.155538848248969,4.008382877959166
0.846,4.150677737137857,4.007361725271344
0.845,4.145816626026746,4.006342061410838
0.844,4.14086870936008,4.005305721304951
0.843,4.135920792693413,4.004270910648709
0.842,4.131059681582302,4.003255760789318
0.841,4.126111764915636,4.002224018493785
0.84,4.121163848248969,4.001193806688014
0.839,4.116302737137858,4.0001831673127235
0.838,4.111441626026747,3.9991740111768457
0.837,4.1064937093600795,3.9981483598785
0.836,4.101545792693414,3.9971242352570386
0.835,4.096684681582302,3.9961195716195896
0.834,4.091823570471191,3.995116385207837
0.833,4.086875653804524,3.9940968128431664
0.832,4.081927737137858,3.99307876304141
0.831,4.077066626026746,3.9920800703670944
0.83,4.072205514915635,3.9910828488399193
0.829,4.067257598248968,3.9900693406740215
0.828,4.062309681582302,3.989057351011416
0.827,4.057448570471191,3.9880646054495377
0.826,4.052587459360081,3.9870733278390076
0.825,4.047639542693414,3.9860658689320947
0.824,4.0426916260267465,3.9850599261490207
0.823,4.037830514915635,3.9840731246736314
0.822,4.0329694038045245,3.983087788790076
0.821,4.028021487137857,3.982086370467499
0.82,4.023073570471191,3.9810864662530556
0.819,4.01821245936008,3.980105588557034
0.818,4.013264542693413,3.979108703977408
0.817,4.008316626026747,3.978113327948504
0.816,4.003455514915635,3.9771369011206636
0.815,3.9985944038045242,3.976161944179844
0.814,3.993646487137857,3.9751710868118435
0.813,3.98869857047119,3.974181733845768
0.812,3.9838374593600796,3.9732112211972215
0.811,3.978976348248969,3.972242171207259
0.81,3.974028431582302,3.971257322589997
0.809,3.969080514915635,3.9702739775288904
0.808,3.964219403804524,3.9693093634470906
0.807,3.959358292693413,3.968346215237918
0.806,3.9544103760267464,3.967367376270825
0.805,3.94946245936008,3.966390039394475
0.804,3.9446013482489684,3.9654313248541766
0.803,3.9397402371378574,3.964474071835918
0.802,3.9347923204711908,3.9635012266791856
0.801,3.929844403804524,3.962529884581636
0.8,3.924983292693413,3.961577055264614
0.799,3.9201221815823017,3.960625688363201
0.798,3.9151742649156356,3.9596588391388114
0.797,3.910226348248969,3.9586934922563506
0.796,3.9053652371378575,3.9577465524067894
0.795,3.9005041260267466,3.9568010719517446
0.794,3.89555620936008,3.955840207140288
0.793,3.890608292693414,3.954880844444233
0.792,3.8857471815823024,3.9539397816198707
0.791,3.8807992649156358,3.95298341640492
0.79,3.8758513482489687,3.9520285521176617
0.789,3.8709902371378577,3.951091918475099
0.788,3.8661291260267463,3.9501567391519443
0.787,3.8611812093600797,3.9492063566134874
0.786,3.856233292693413,3.948257475961283
0.785,3.851372181582302,3.947326713825182
0.784,3.846511070471191,3.9463974055369015
0.783,3.8415631538045245,3.9454529988428373
0.782,3.8366152371378575,3.9445100921536445
0.781,3.831754126026746,3.9435852045477047
0.78,3.8268930149156355,3.942661774814829
0.779,3.8219450982489684,3.9417233483004694
0.778,3.816997181582302,3.940786422443497
0.777,3.8121360704711904,3.939867405580405
0.776,3.80727495936008,3.938949843133926
0.775,3.802327042693413,3.938017390400979
0.774,3.797379126026746,3.937086435637131
0.773,3.7925180149156352,3.9361732889534236
0.772,3.7876569038045242,3.9352616013480364
0.771,3.782708987137857,3.9343351299673373
0.77,3.77776107047119,3.933410154842708
0.769,3.7728999593600796,3.932502881346862
0.768,3.768038848248969,3.9315970616568845
0.767,3.763090931582302,3.9306765636864607
0.766,3.758143014915635,3.9297575614244282
0.765,3.753281903804524,3.9288561560486874
0.764,3.748333987137858,3.9279401577711455
0.763,3.743386070471191,3.9270256594940443
0.762,3.73852495936008,3.926128674887914
0.761,3.7336638482489684,3.925233146098965
0.76,3.7287159315823017,3.924323124107413
0.759,3.7237680149156356,3.923414602687722
0.758,3.718906903804524,3.922523489684866
0.757,3.714045792693413,3.9216338306410785
0.756,3.7090978760267466,3.9207297899667046
0.755,3.7041499593600804,3.919827249928361
0.754,3.699288848248969,3.9189420199755953
0.753,3.6944277371378575,3.9180582418976084
0.752,3.689479820471191,3.9171601839986763
0.751,3.684531903804524,3.9162636266686843
0.75,3.679670792693414,3.915384271538444
0.749,3.6748096815823024,3.914506368775377
0.748,3.6698617649156358,3.913614294035371
0.747,3.6649138482489687,3.912723721082485
0.746,3.6600527371378577,3.9118502521507197
0.745,3.6551916260267463,3.9109782366464416
0.744,3.6502437093600797,3.910092150465222
0.743,3.645295792693413,3.9092075675087026
0.742,3.640434681582302,3.908339977807809
0.741,3.6354867649156355,3.9074583948679864
0.74,3.6305388482489684,3.906578311784027
0.739,3.6256777371378575,3.9057151473570735
0.738,3.620816626026746,3.904853445699669
0.737,3.61586870936008,3.903977859376845
0.736,3.610920792693413,3.9031037714354304
0.735,3.606059681582302,3.9022464962738264
0.734,3.6011985704711904,3.901390678938966
0.733,3.5962506538045242,3.9005210805963375
0.732,3.5913027371378576,3.899652981933262
0.731,3.586441626026746,3.8988015888762715
0.73,3.5815805149156352,3.897951658674686
0.729,3.5766325982489686,3.8970880566463277
0.728,3.5716846815823016,3.8962259542450113
0.727,3.56682357047119,3.8953804502449225
0.726,3.5619624593600796,3.894536405746281
0.725,3.5570145426934134,3.8936787886221933
0.724,3.5520666260267464,3.892822672624721
0.723,3.547205514915635,3.8919830460055684
0.722,3.542344403804524,3.891144879734109
0.721,3.537396487137858,3.8902932503118874
0.72,3.532448570471191,3.8894431206823277
0.719,3.52758745936008,3.8886093738770704
0.718,3.5227263482489684,3.887777083224422
0.717,3.5177784315823017,3.886931425541587
0.716,3.5128305149156356,3.886087265337182
