,Current,Duration
0,0.0,54
1,0.47570828395992676,1
2,0.9514165679198535,2
3,1.4271248518797803,1
4,1.902833135839707,2
5,2.378541419799634,2
6,1.902833135839707,2
7,1.4271248518797803,2
8,0.9514165679198535,2
9,1.4271248518797803,1
10,1.902833135839707,1
11,2.378541419799634,2
12,2.8542497037595607,1
13,2.378541419799634,1
14,1.902833135839707,2
15,1.4271248518797803,2
16,0.9514165679198535,1
17,1.4271248518797803,2
18,2.378541419799634,2
19,2.8542497037595607,2
20,3.3299579877194874,4
21,2.8542497037595607,7
22,2.378541419799634,11
23,2.8542497037595607,2
24,2.378541419799634,2
25,1.902833135839707,1
26,1.4271248518797803,2
27,1.902833135839707,1
28,2.378541419799634,2
29,2.8542497037595607,2
30,3.3299579877194874,18
31,2.8542497037595607,1
32,2.378541419799634,2
33,1.902833135839707,1
34,1.4271248518797803,3
35,0.9514165679198535,3
36,0.47570828395992676,9
37,0.0,31
38,0.47570828395992676,3
39,0.9514165679198535,1
40,1.4271248518797803,1
41,1.902833135839707,1
42,2.378541419799634,4
43,1.902833135839707,2
44,1.4271248518797803,2
45,0.9514165679198535,4
46,0.47570828395992676,8
47,0.0,31
48,0.47570828395992676,1
49,0.9514165679198535,2
50,0.47570828395992676,2
51,0.9514165679198535,1
52,1.4271248518797803,1
53,1.902833135839707,1
54,2.378541419799634,1
55,2.8542497037595607,2
56,2.378541419799634,1
57,1.902833135839707,3
58,1.4271248518797803,8
59,0.9514165679198535,12
60,0.47570828395992676,5
61,0.9514165679198535,10
62,0.47570828395992676,15
63,0.9514165679198535,15
64,0.47570828395992676,10
65,0.0,66
66,0.47570828395992676,3
67,0.9514165679198535,4
68,1.4271248518797803,16
69,1.902833135839707,7
70,2.378541419799634,15
71,1.902833135839707,1
72,2.378541419799634,1
73,2.8542497037595607,2
74,2.378541419799634,2
75,1.902833135839707,3
76,1.4271248518797803,3
77,0.9514165679198535,1
78,1.4271248518797803,2
79,1.4271248518797803,1
80,1.902833135839707,3
81,1.4271248518797803,5
82,0.9514165679198535,4
83,0.9514165679198535,2
84,0.47570828395992676,2
85,0.9514165679198535,4
86,0.47570828395992676,8
87,0.0,16
88,0.47570828395992676,3
89,0.0,1
90,0.47570828395992676,1
