Time,Current,Terminal Voltage,Ambient Temperature
2144.211314612229,-2.5,4.190331673500719,298.15
2144.2196479455624,-2.5,4.191719066925388,298.15
2144.227981278896,-2.5,4.193163372065035,298.15
2144.2363146122293,-2.5,4.194234846143136,298.15
2144.2446479455625,-2.5,4.195573911761618,298.15
2144.252981278896,-2.5,4.19662804009557,298.15
2144.261314612229,-2.5,4.197801119410538,298.15
2144.2696479455626,-2.5,4.19919101686053,298.15
2144.276493167601,-2.5,4.199989999999987,298.15
2144.276493167601,-2.500373184578637,4.200000000000001,298.15
2144.2848265009343,-2.4552106953832915,4.199999999999998,298.15
2144.293159834268,-2.419537873862648,4.199999999999999,298.15
2144.301493167601,-2.374947493483822,4.200000000000001,298.15
2144.3098265009344,-2.3291170175281346,4.199999999999999,298.15
2144.318159834268,-2.287783032692019,4.2,298.15
2144.3264931676013,-2.2366116068139834,4.199999999999999,298.15
2144.3348265009345,-2.187371693504467,4.199999999999999,298.15
2144.343159834268,-2.14281417760163,4.199999999999999,298.15
2144.3514931676013,-2.088545863549624,4.1999999999999975,298.15
2144.3598265009346,-2.0361079937851554,4.199999999999999,298.15
2144.368159834268,-1.9900879931583269,4.199999999999999,298.15
2144.376493167601,-1.9355026075241288,4.200000000000001,298.15
2144.3848265009347,-1.8778439963069675,4.200000000000001,298.15
2144.393159834268,-1.8287372168390243,4.200000000000001,298.15
2144.401493167601,-1.783016421570038,4.199999999999999,298.15
2144.4098265009343,-1.7319028070694351,4.199999999999998,298.15
2144.418159834268,-1.681120240372731,4.200000000000001,298.15
2144.426493167601,-1.6336672732265225,4.199999999999999,298.15
2144.4348265009344,-1.5883592940526372,4.200000000000002,298.15
2144.443159834268,-1.5430687289030096,4.200000000000001,298.15
2144.4514931676013,-1.497520864005345,4.199999999999999,298.15
2144.4598265009345,-1.4542151405121944,4.200000000000001,298.15
2144.468159834268,-1.4117418954911516,4.2,298.15
2144.4764931676013,-1.3702211219110207,4.200000000000001,298.15
2144.4848265009346,-1.3320674347212005,4.199999999999998,298.15
2144.493159834268,-1.2947673030415996,4.199999999999998,298.15
2144.501493167601,-1.2548482537764774,4.2,298.15
2144.5098265009347,-1.2150564764581857,4.2,298.15
2144.518159834268,-1.1789562887807223,4.2,298.15
2144.526493167601,-1.1459394657328457,4.199999999999999,298.15
2144.5348265009343,-1.114425078473276,4.2,298.15
2144.543159834268,-1.0836191936880544,4.200000000000001,298.15
2144.551493167601,-1.0529960853657558,4.2,298.15
2144.5598265009344,-1.0217355441203075,4.200000000000001,298.15
2144.568159834268,-0.9903215472558092,4.199999999999999,298.15
2144.5764931676013,-0.9609808079279392,4.199999999999999,298.15
2144.5848265009345,-0.9339019223046172,4.200000000000001,298.15
2144.593159834268,-0.9079995342441888,4.199999999999999,298.15
2144.6014931676013,-0.8824353939044456,4.200000000000001,298.15
2144.6098265009346,-0.857677110399315,4.199999999999999,298.15
2144.618159834268,-0.83379765802704,4.199999999999999,298.15
2144.626493167601,-0.8104259378495909,4.2,298.15
2144.6348265009347,-0.7873136834924576,4.200000000000001,298.15
2144.643159834268,-0.76464295488779,4.200000000000001,298.15
2144.651493167601,-0.7424929171586894,4.200000000000001,298.15
2144.6598265009343,-0.7208045073114051,4.199999999999999,298.15
2144.668159834268,-0.7000329814527388,4.199999999999999,298.15
2144.676493167601,-0.6804556575094787,4.2,298.15
2144.6848265009344,-0.6619163300300159,4.199999999999998,298.15
2144.693159834268,-0.6442765603962547,4.2,298.15
2144.7014931676013,-0.6271747066797039,4.200000000000002,298.15
2144.7098265009345,-0.61027702698828,4.200000000000001,298.15
2144.718159834268,-0.5933001158956244,4.200000000000001,298.15
2144.7264931676013,-0.5763923396078136,4.200000000000001,298.15
2144.7348265009346,-0.5599979526619734,4.2,298.15
2144.743159834268,-0.5443194467973791,4.199999999999999,298.15
2144.751493167601,-0.5295022229336488,4.199999999999999,298.15
2144.7598265009347,-0.5154374541933107,4.199999999999999,298.15
2144.768159834268,-0.5017827113696791,4.199999999999999,298.15
2144.776493167601,-0.488213692306913,4.200000000000001,298.15
2144.7848265009343,-0.4744900021415045,4.200000000000001,298.15
2144.793159834268,-0.4606688014567391,4.199999999999999,298.15
2144.801493167601,-0.4470097124999902,4.2,298.15
2144.8098265009344,-0.433828149986247,4.199999999999999,298.15
2144.818159834268,-0.4212519704509189,4.199999999999998,298.15
2144.8264931676013,-0.4093347850390294,4.199999999999999,298.15
2144.8348265009345,-0.3980400784267929,4.2,298.15
2144.843159834268,-0.3872577543237219,4.199999999999999,298.15
2144.8514931676013,-0.3768669439722896,4.1999999999999975,298.15
2144.8598265009346,-0.3668270432374643,4.199999999999999,298.15
2144.868159834268,-0.3570965450664974,4.200000000000001,298.15
2144.876493167601,-0.3476260745424071,4.199999999999999,298.15
2144.8848265009347,-0.3383800261512603,4.200000000000001,298.15
2144.893159834268,-0.3293484730180851,4.199999999999999,298.15
2144.901493167601,-0.3205103127276785,4.200000000000001,298.15
2144.9098265009343,-0.3118509192208293,4.200000000000001,298.15
2144.918159834268,-0.3033580725567431,4.200000000000001,298.15
2144.926493167601,-0.2950485250433218,4.200000000000001,298.15
2144.9348265009344,-0.2869409328416066,4.200000000000001,298.15
2144.943159834268,-0.2790719181635819,4.2,298.15
2144.9514931676013,-0.2714369412571636,4.199999999999999,298.15
2144.9598265009345,-0.2640224903029713,4.199999999999999,298.15
2144.968159834268,-0.2568181117318688,4.199999999999999,298.15
2144.9764931676013,-0.2498280011223935,4.199999999999999,298.15
