Time,Current,Terminal Voltage,Ambient Temperature
2001.974629290323,0.2444900949233023,2.499999999999996,298.15
2001.9829626236565,0.2029671764423605,2.5000000000000067,298.15
2001.9912959569897,0.1694410992181605,2.500000000000007,298.15
2001.992055121364,0.1667166666662381,2.5,298.15
2001.992055121364,-2.5,2.6373506756482827,298.15
2002.000388454697,-2.5,2.903315816466544,298.15
2002.0087217880305,-2.5,3.01517819499146,298.15
2002.017055121364,-2.5,3.095154799586189,298.15
2002.025388454697,-2.5,3.1280720632138586,298.15
2002.0337217880303,-2.5,3.1729398151227644,298.15
2002.042055121364,-2.5,3.204862540243032,298.15
2002.050388454697,-2.5,3.2259176655759525,298.15
2002.0587217880304,-2.5,3.2443175179205443,298.15
2002.067055121364,-2.5,3.263402199251452,298.15
2002.075388454697,-2.5,3.2826029969017845,298.15
2002.0837217880303,-2.5,3.300266134554077,298.15
2002.092055121364,-2.5,3.315441424232946,298.15
2002.1003884546967,-2.5,3.3276117423576026,298.15
2002.1087217880304,-2.5,3.3408055810208004,298.15
2002.117055121364,-2.5,3.359214579376953,298.15
2002.125388454697,-2.5,3.372535341605145,298.15
2002.1337217880305,-2.5,3.385566507013068,298.15
2002.142055121364,-2.5,3.3979050384201592,298.15
2002.150388454697,-2.5,3.410942964986141,298.15
2002.1587217880303,-2.5,3.426325382742994,298.15
2002.167055121364,-2.5,3.4418151829429418,298.15
2002.175388454697,-2.5,3.456566129523168,298.15
2002.1837217880304,-2.5,3.4669300326508274,298.15
2002.192055121364,-2.5,3.480022248828376,298.15
2002.200388454697,-2.5,3.49186154143872,298.15
2002.2087217880303,-2.5,3.501297803335386,298.15
2002.217055121364,-2.5,3.5139636622354056,298.15
2002.2253884546967,-2.5,3.52445538961977,298.15
2002.2337217880304,-2.5,3.53452408939412,298.15
2002.242055121364,-2.5,3.5444913469631465,298.15
2002.250388454697,-2.5,3.552284347610456,298.15
2002.2587217880305,-2.5,3.5604456658364745,298.15
2002.267055121364,-2.5,3.5677374690859787,298.15
2002.275388454697,-2.5,3.5747887500369258,298.15
2002.2837217880303,-2.5,3.5822177462190705,298.15
2002.292055121364,-2.5,3.5887088376650094,298.15
2002.300388454697,-2.5,3.5935790757690365,298.15
2002.3087217880304,-2.5,3.597781416171876,298.15
2002.317055121364,-2.5,3.601281315939429,298.15
2002.325388454697,-2.5,3.603824473373347,298.15
2002.3337217880303,-2.5,3.6061545253377782,298.15
2002.342055121364,-2.5,3.608474861179511,298.15
2002.3503884546967,-2.5,3.610794042281485,298.15
2002.3587217880304,-2.5,3.61294814145383,298.15
2002.367055121364,-2.5,3.614992517971863,298.15
2002.375388454697,-2.5,3.617340614383445,298.15
2002.3837217880305,-2.5,3.6197975433958254,298.15
2002.392055121364,-2.5,3.6224864203363447,298.15
2002.400388454697,-2.5,3.625328151897597,298.15
2002.4087217880303,-2.5,3.628270606313465,298.15
2002.417055121364,-2.5,3.631408783335466,298.15
2002.425388454697,-2.5,3.635100019307597,298.15
2002.4337217880304,-2.5,3.638606561168052,298.15
2002.442055121364,-2.5,3.64217402814206,298.15
2002.450388454697,-2.5,3.6461600417096025,298.15
2002.4587217880303,-2.5,3.6500534566466887,298.15
2002.467055121364,-2.5,3.654424673776673,298.15
2002.4753884546967,-2.5,3.659108466611017,298.15
2002.4837217880304,-2.5,3.663896414248191,298.15
2002.492055121364,-2.5,3.668724368562559,298.15
2002.500388454697,-2.5,3.6734901285610215,298.15
2002.5087217880305,-2.5,3.678220263779191,298.15
2002.517055121364,-2.5,3.682619589684552,298.15
2002.525388454697,-2.5,3.687005481611095,298.15
2002.5337217880303,-2.5,3.691295815780292,298.15
2002.542055121364,-2.5,3.695424305064489,298.15
2002.550388454697,-2.5,3.699505226964757,298.15
2002.5587217880304,-2.5,3.703389120905373,298.15
2002.567055121364,-2.5,3.7075849355322,298.15
2002.575388454697,-2.5,3.7115449777790346,298.15
2002.5837217880303,-2.5,3.715533962557331,298.15
2002.592055121364,-2.5,3.719355359651316,298.15
2002.6003884546967,-2.5,3.722976951425387,298.15
2002.6087217880304,-2.5,3.726577470468298,298.15
2002.617055121364,-2.5,3.730148219977658,298.15
2002.625388454697,-2.5,3.7337374547190167,298.15
2002.6337217880305,-2.5,3.737281380732754,298.15
2002.642055121364,-2.5,3.740694129140072,298.15
2002.650388454697,-2.5,3.744391933639692,298.15
2002.6587217880303,-2.5,3.7481617557934346,298.15
2002.667055121364,-2.5,3.751592120646742,298.15
2002.675388454697,-2.5,3.755256271309237,298.15
2002.6837217880304,-2.5,3.759075134588418,298.15
2002.692055121364,-2.5,3.7624985654091385,298.15
2002.700388454697,-2.5,3.766579947642005,298.15
2002.7087217880303,-2.5,3.770245785455157,298.15
2002.717055121364,-2.5,3.7737848231404345,298.15
2002.7253884546967,-2.5,3.7775732896531458,298.15
2002.7337217880304,-2.5,3.7810788001008913,298.15
2002.742055121364,-2.5,3.7848639722782975,298.15
2002.750388454697,-2.5,3.788477219340757,298.15
2002.7587217880305,-2.5,3.792107656302319,298.15
2002.767055121364,-2.5,3.796088165482504,298.15
2002.775388454697,-2.5,3.799726702711479,298.15
2002.7837217880303,-2.5,3.803582866950638,298.15
2002.792055121364,-2.5,3.80738585407908,298.15
2002.800388454697,-2.5,3.811355619293359,298.15
2002.8087217880304,-2.5,3.8151434985261794,298.15
2002.817055121364,-2.5,3.818918770402554,298.15
2002.825388454697,-2.5,3.822624850493251,298.15
2002.8337217880303,-2.5,3.8267191793521897,298.15
2002.842055121364,-2.5,3.8306184047821183,298.15
