Time,Capacity,Resistance
10.15097436424607,5.062437080184147,0.026770362921604843
163.43947294746778,5.040430478927719,0.027747197215608577
316.64710929842647,5.025069199243916,0.027962820531360708
469.8668441365813,5.023356442623907,0.02822022080535633
623.0790828098451,5.019323959053123,0.028564566346122706
776.2445263180817,5.0157488937951475,0.02870801849916222
929.3894521073768,5.009407843188683,0.02925621131710081
1082.564821671887,5.009491786344621,0.02937607054898524
1235.721081318305,5.009124177614243,0.029404662738826175
1388.8768947617418,5.004116765359595,0.029528729163147832
1541.99018305413,4.99856119550725,0.02968952356185942
1695.1114603020194,4.996178565831201,0.03001219910228999
1848.2249821385387,4.999493490610902,0.030204953192267157
2001.3310416735385,4.991786776050844,0.03027843901520112
2154.4132039985466,4.989729819249533,0.03039894690820723
2307.531222829067,4.990839342326979,0.03066325105931007
